Position,Track Name,Artist,Streams,URL,Week,Embed
1,Easy On Me,Adele,57081735,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,10/22/2021,https://open.spotify.com/embed/track/0gplL1WMoJ6iYaPgMCL0gX?utm_source_generator
2,STAY (with Justin Bieber),The Kid LAROI,43772708,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,10/22/2021,https://open.spotify.com/embed/track/5PjdY0CKGZdEuoNab3yDmX?utm_source_generator
3,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,38131363,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,10/22/2021,https://open.spotify.com/embed/track/5Z9KJZvQzH6PFmb8SNkxuk?utm_source_generator
4,Heat Waves,Glass Animals,30071945,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,10/22/2021,https://open.spotify.com/embed/track/02MWAaffLxlfxAUY7c5dvx?utm_source_generator
5,MONEY,LISA,27961856,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,10/22/2021,https://open.spotify.com/embed/track/7hU3IHwjX150XLoTVmjD0q?utm_source_generator
6,Cold Heart - PNAU Remix,Elton John,27674586,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,10/22/2021,https://open.spotify.com/embed/track/7rglLriMNBPAyuJOMGwi39?utm_source_generator
7,Moth To A Flame (with The Weeknd),Swedish House Mafia,27137069,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA,10/22/2021,https://open.spotify.com/embed/track/2gpWyfu7eZ01zzncHpxOtA?utm_source_generator
8,Shivers,Ed Sheeran,26334187,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,10/22/2021,https://open.spotify.com/embed/track/75MNhvTCCKsST3YqqUiU9r?utm_source_generator
9,My Universe,Coldplay,25632159,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,10/22/2021,https://open.spotify.com/embed/track/46HNZY1i7O6jwTA7Slo2PI?utm_source_generator
10,Pepas,Farruko,25389829,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,10/22/2021,https://open.spotify.com/embed/track/2B4GHvToeLTOBB4QLzW3Ni?utm_source_generator
11,Bad Habits,Ed Sheeran,25037944,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,10/22/2021,https://open.spotify.com/embed/track/6PQ88X9TkUIAUIZJHW2upE?utm_source_generator
12,Woman,Doja Cat,23187278,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,10/22/2021,https://open.spotify.com/embed/track/6Uj1ctrBOjOas8xZXGqKk4?utm_source_generator
13,love nwantiti (ah ah ah),CKay,21602782,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,10/22/2021,https://open.spotify.com/embed/track/2Xr1dTzJee307rmrkt8c0g?utm_source_generator
14,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,20904632,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU,10/22/2021,https://open.spotify.com/embed/track/4gvrJnKCKIPiacNsWVQwEU?utm_source_generator
15,THATS WHAT I WANT,Lil Nas X,19629995,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,10/22/2021,https://open.spotify.com/embed/track/0e8nrvls4Qqv5Rfa2UhqmO?utm_source_generator
16,good 4 u,Olivia Rodrigo,19615891,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,10/22/2021,https://open.spotify.com/embed/track/4ZtFanR9U6ndgddUvNcjcG?utm_source_generator
17,Beggin',Måneskin,19093598,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,10/22/2021,https://open.spotify.com/embed/track/3Wrjm47oTz2sjIgck11l5e?utm_source_generator
18,Need to Know,Doja Cat,18735754,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,10/22/2021,https://open.spotify.com/embed/track/3Vi5XqYrmQgOYBajMWSvCi?utm_source_generator
19,Life Goes On,Oliver Tree,18033866,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC,10/22/2021,https://open.spotify.com/embed/track/0eu4C55hL6x29mmeAjytzC?utm_source_generator
20,MONTERO (Call Me By Your Name),Lil Nas X,17707419,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,10/22/2021,https://open.spotify.com/embed/track/1SC5rEoYDGUK4NfG82494W?utm_source_generator
21,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,17479060,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,10/22/2021,https://open.spotify.com/embed/track/4gzsuuZypVbxs0Af1LSZyB?utm_source_generator
22,Kiss Me More (feat. SZA),Doja Cat,16903484,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,10/22/2021,https://open.spotify.com/embed/track/3DarAbFujv6eYNliUTyqtz?utm_source_generator
23,Happier Than Ever,Billie Eilish,16337007,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,10/22/2021,https://open.spotify.com/embed/track/4RVwu0g32PAqgUiJoXsdF8?utm_source_generator
24,Meet Me At Our Spot,THE ANXIETY,14407480,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,10/22/2021,https://open.spotify.com/embed/track/07MDkzWARZaLEdKxo6yArG?utm_source_generator
25,traitor,Olivia Rodrigo,13885924,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,10/22/2021,https://open.spotify.com/embed/track/5CZ40GBx1sQ9agT82CLQCT?utm_source_generator
26,Yonaguni,Bad Bunny,13772019,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,10/22/2021,https://open.spotify.com/embed/track/2JPLbjOn0wPCngEot2STUS?utm_source_generator
27,Levitating (feat. DaBaby),Dua Lipa,13423842,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,10/22/2021,https://open.spotify.com/embed/track/5nujrmhLynf4yMoMtj8AQF?utm_source_generator
28,Blinding Lights,The Weeknd,13224267,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,10/22/2021,https://open.spotify.com/embed/track/0VjIjW4GlUZAMYd2vXMi3b?utm_source_generator
29,Where Are You Now,Lost Frequencies,12984890,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,10/22/2021,https://open.spotify.com/embed/track/3uUuGVFu1V7jTQL60S1r8z?utm_source_generator
30,Way 2 Sexy (with Future & Young Thug),Drake,12916861,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG,10/22/2021,https://open.spotify.com/embed/track/0k1WUmIRnG3xU6fvvDVfRG?utm_source_generator
31,Todo De Ti,Rauw Alejandro,12449056,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9,10/22/2021,https://open.spotify.com/embed/track/5RwV8BvLfX5injfqYodke9?utm_source_generator
32,Volví,Aventura,12319249,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,10/22/2021,https://open.spotify.com/embed/track/2vmfvSoZBFAt9hhRoEByLi?utm_source_generator
33,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,12221046,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,10/22/2021,https://open.spotify.com/embed/track/4iJyoBOLtHqaGxP12qzhQI?utm_source_generator
34,Ghost,Justin Bieber,11973226,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,10/22/2021,https://open.spotify.com/embed/track/6I3mqTwhRpn34SLVafSH7G?utm_source_generator
35,Take My Breath,The Weeknd,11416437,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u,10/22/2021,https://open.spotify.com/embed/track/6M3PsepEj5gyJoIi7Xvr7u?utm_source_generator
36,Knife Talk (with 21 Savage ft. Project Pat),Drake,11187706,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,10/22/2021,https://open.spotify.com/embed/track/2BcMwX1MPV6ZHP4tUT9uq6?utm_source_generator
37,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,11145764,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,10/22/2021,https://open.spotify.com/embed/track/6f5ExP43esnvdKPddwKXJH?utm_source_generator
38,Don't Be Shy,Tiësto,11037411,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB,10/22/2021,https://open.spotify.com/embed/track/0bI7K9Becu2dtXK1Q3cZNB?utm_source_generator
39,Índigo,Camilo,10959583,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu,10/22/2021,https://open.spotify.com/embed/track/4knc1Fp3kbuq8bH2byOvLu?utm_source_generator
40,Sweater Weather,The Neighbourhood,10933896,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,10/22/2021,https://open.spotify.com/embed/track/2QjOHCTQ1Jl3zawyYOpxh6?utm_source_generator
41,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,10721446,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy,10/22/2021,https://open.spotify.com/embed/track/6IPNp9PfaEqrzotY47TIWy?utm_source_generator
42,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,10539963,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ,10/22/2021,https://open.spotify.com/embed/track/6Dy1jexKYriXAVG6evyUTJ?utm_source_generator
